Sample #,Code,Voltage
0,25,0.0201 V
1,52,0.0419 V
2,96,0.0774 V
3,48,0.0387 V
4,0,0.0000 V
5,97,0.0782 V
6,164,0.1322 V
7,22,0.0177 V
8,0,0.0000 V
9,160,0.1289 V
10,0,0.0000 V
11,42,0.0338 V
12,143,0.1152 V
13,52,0.0419 V
14,100,0.0806 V
15,57,0.0459 V
16,58,0.0467 V
17,34,0.0274 V
18,21,0.0169 V
19,72,0.0580 V
20,0,0.0000 V
21,0,0.0000 V
22,42,0.0338 V
23,81,0.0653 V
24,0,0.0000 V
25,0,0.0000 V
26,86,0.0693 V
27,11,0.0089 V
28,49,0.0395 V
29,22,0.0177 V
30,0,0.0000 V
31,34,0.0274 V
32,0,0.0000 V
33,99,0.0798 V
34,0,0.0000 V
35,0,0.0000 V
36,91,0.0733 V
37,0,0.0000 V
38,16,0.0129 V
39,0,0.0000 V
40,19,0.0153 V
41,0,0.0000 V
42,39,0.0314 V
43,46,0.0371 V
44,0,0.0000 V
45,147,0.1185 V
46,0,0.0000 V
47,0,0.0000 V
48,79,0.0637 V
49,6,0.0048 V
50,0,0.0000 V
51,7,0.0056 V
52,43,0.0347 V
53,0,0.0000 V
54,87,0.0701 V
55,55,0.0443 V
56,61,0.0492 V
57,133,0.1072 V
58,0,0.0000 V
59,39,0.0314 V
60,68,0.0548 V
61,0,0.0000 V
62,26,0.0210 V
63,137,0.1104 V
64,68,0.0548 V
65,33,0.0266 V
66,123,0.0991 V
67,37,0.0298 V
68,137,0.1104 V
69,84,0.0677 V
70,24,0.0193 V
71,96,0.0774 V
72,84,0.0677 V
73,56,0.0451 V
74,64,0.0516 V
75,105,0.0846 V
76,0,0.0000 V
77,41,0.0330 V
78,127,0.1023 V
79,0,0.0000 V
80,76,0.0612 V
81,100,0.0806 V
82,0,0.0000 V
83,117,0.0943 V
84,175,0.1410 V
85,16,0.0129 V
86,57,0.0459 V
87,133,0.1072 V
88,26,0.0210 V
89,29,0.0234 V
90,56,0.0451 V
91,0,0.0000 V
92,63,0.0508 V
93,21,0.0169 V
94,0,0.0000 V
95,71,0.0572 V
96,82,0.0661 V
97,0,0.0000 V
98,0,0.0000 V
99,111,0.0895 V
100,0,0.0000 V
101,0,0.0000 V
102,85,0.0685 V
103,27,0.0218 V
104,4,0.0032 V
105,0,0.0000 V
106,113,0.0911 V
107,0,0.0000 V
